,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,5/1/2025,5/2/2025,5/3/2025,5/4/2025,5/5/2025,5/6/2025,5/7/2025,5/8/2025,5/9/2025,5/10/2025,5/11/2025,5/12/2025,5/13/2025,5/14/2025,5/15/2025,5/16/2025,5/17/2025,5/18/2025,5/19/2025,5/20/2025,5/21/2025,5/22/2025,5/23/2025,5/24/2025,5/25/2025,5/26/2025,5/27/2025,5/28/2025,5/29/2025,5/30/2025,5/31/2025,,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,544.5,518.5,592,840,252,358.5,309,665.5,686,683,1137.5,255,295.5,656.25,428,660.5,419,1304,159,280.5,344.25,600.5,407,591,981,191.25,409.5,350.25,508,614,1800,,,,,,,,,
,,,crossword,sal,raw,676,610,940,1594,223,331,294,598,655,748,1385,208,254,644,835,1800,1800,1800,217,240,266,1025,1235,768,1170,262,392,377,794,448,808,,,,,,,,,
,,,crossword,bob,raw,397,446,593,915,233,235,254,609,685,560,957,201,219,589,424,409,557,1038,215,317,255,361,574,785,1175,196,261,292,468,397,465,,,,,,,,,
,,,crossword,stolowd,raw,730,635,536.5,947.5,263.25,495.75,321.75,1113.5,584,824.5,1800,344.25,276.75,826.5,482,430,505.5,783,259.5,298.5,335.25,636.5,411,543,1464,288,392.25,363,469,315,729.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,,,,,,,,,
,,,connections,sal,raw,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,4,0,4,5,,,,,,,,,
,,,connections,bob,raw,5,0,0,4,5,5,5,5,5,5,5,5,5,5,5,4,0,5,5,5,4,0,5,3,5,5,0,4,5,4,5,,,,,,,,,
,,,connections,stolowd,raw,0,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,seconds,pyramid,sary,raw,26,53,14,175,125,83,18,11,12,22,22,29,39,25,8,29,8,20,59,10,238,278,157,9,96,43,225,24,112,300,11,,,,,,,,,
,,,pyramid,sal,raw,9,300,9,75,42,61,17,16,20,11,18,35,120,70,23,11,300,300,156,21,31,31,21,11,39,163,48,132,21,131,14,,,,,,,,,
