,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,4/1/2025,4/2/2025,4/3/2025,4/4/2025,4/5/2025,4/6/2025,4/7/2025,4/8/2025,4/9/2025,4/10/2025,4/11/2025,4/12/2025,4/13/2025,4/14/2025,4/15/2025,4/16/2025,4/17/2025,4/18/2025,4/19/2025,4/20/2025,4/21/2025,4/22/2025,4/23/2025,4/24/2025,4/25/2025,4/26/2025,4/27/2025,4/28/2025,4/29/2025,4/30/2025,,,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,330,425.25,434,473,575,718,246.75,225,484.5,397.5,927.5,468,798.5,174,248.25,515.25,468.5,517,301,811.5,258,373.5,378.75,473,394.5,504,768,246,403.5,348,,,,,,,,,,
,,,crossword,sal,raw,256,487,987,858,502,965,213,345,400,490,466,794,1084,224,279,566,612,1058,845,1433,239,325,518,541,535,778,858,264,333,360,,,,,,,,,,
,,,crossword,bob,raw,338,407,393,461,819,916,254,265,308,546,436,591,768,206,278,403,516,506,388,876,191,322,301,783,456,583,872,192,338,348,,,,,,,,,,
,,,crossword,stolowd,raw,361.5,572.25,1800,816,529,960,274.5,334.5,1800,556,497,498.5,1035,260.25,270.75,672,429.5,410.5,473.5,932.5,261.75,314.25,503.25,538.5,609,1259.5,1045.5,288,448.5,369,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,0,5,5,5,5,5,0,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,
,,,connections,sal,raw,4,4,0,5,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,4,4,0,5,5,5,,,,,,,,,,
,,,connections,bob,raw,3,4,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,,,,,,,,,,
,,,connections,stolowd,raw,0,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,5,4,5,5,5,5,5,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,seconds,pyramid,sary,raw,68,70,18,262,67,30,86,300,47,324,40,37,95,17,25,24,19,26,33,43,7,10,146,52,50,198,300,73,13,45,,,,,,,,,,
,,,pyramid,sal,raw,140,10,11,225,17,27,9,35,30,55,300,32,20,12,15,189,8,17,46,13,54,8,62,69,104,25,65,12,10,29,,,,,,,,,,
